날짜,강경젓갈축제,보령머드축제,금산인삼축제,논산딸기축제,괴산고추축제,해미읍성축제
19-Jul,0,30,0,0,0,0
19-Aug,0,5,6,0,53,0
19-Sep,0,0,28,0,18,0
19-Oct,7,0,21,0,0,21
19-Nov,5,5,4,0,0,0
19-Dec,0,3,0,0,0,0
20-Jan,0,0,0,5,0,0
20-Feb,0,0,0,3,0,0
20-Mar,0,0,0,0,0,0
20-Apr,0,4,0,0,0,0
20-May,0,4,0,0,0,0
20-Jun,0,7,0,0,0,0
20-Jul,0,9,0,0,0,0
20-Aug,0,4,0,0,23,0
20-Sep,0,5,3,0,23,0
20-Oct,7,4,11,0,0,0
20-Nov,0,5,0,0,0,0
20-Dec,0,0,0,0,0,0
21-Jan,0,0,0,0,0,0
21-Feb,0,0,0,6,0,0
21-Mar,0,3,0,3,0,0
21-Apr,0,4,0,0,0,0
21-May,0,3,0,0,0,0
21-Jun,0,5,0,0,0,0
21-Jul,0,9,0,0,0,0
21-Aug,0,5,0,0,23,0
21-Sep,0,5,0,0,12,0
21-Oct,3,5,9,0,0,0
21-Nov,0,4,0,0,0,0
21-Dec,0,0,0,0,0,0
22-Jan,0,0,0,0,0,0
22-Feb,0,3,0,6,0,0
22-Mar,0,3,0,0,0,0
22-Apr,0,5,0,0,0,0
22-May,0,11,0,0,0,0
22-Jun,0,13,0,0,0,0
22-Jul,0,40,0,0,0,0
22-Aug,0,20,2,0,18,0
22-Sep,0,7,11,0,17,0
22-Oct,8,5,16,0,15,21
22-Nov,0,4,0,0,0,0
22-Dec,0,0,0,0,0,0
23-Jan,0,0,0,0,0,0
23-Feb,0,3,0,5,0,0
23-Mar,0,4,0,23,0,0
23-Apr,0,5,0,2,0,0
23-May,0,4,0,0,0,0
23-Jun,0,9,0,0,7,0
23-Jul,0,15,2,0,0,0
23-Aug,0,7,2,0,18,0
23-Sep,0,2,5,0,16,0
23-Oct,6,3,17,0,0,12
23-Nov,0,3,0,0,0,0
23-Dec,0,0,0,0,0,0
24-Jan,0,0,0,2,0,0
24-Feb,0,2,0,3,0,0
24-Mar,0,2,0,37,0,0
24-Apr,0,3,0,4,0,0
24-May,0,6,0,0,0,0
24-Jun,0,6,0,0,0,0
24-Jul,0,18,0,0,0,0
24-Aug,0,7,0,0,34,0
24-Sep,0,4,6,0,0,9
24-Oct,6,5,12,3,0,11
24-Nov,<1,3,1,<1,1,1
